,제목,작가,평점,내용,장르,이용연령가,연재요일
320,온실 속 화초,옛사람,9.96,"<성공한 덕후> 옛사람 작가의 미스터리 시트콤 신작!호텔 VVIP 였던 남매는 하루아침에 집안이 망해 길거리로 나앉는다. 그들은 보물이 가득하다는 숲속의 성에 대한 소문을 듣게 되고, 그 성으로 떠나기로 한다.비밀스러운 땅굴을 통해 겨우 찾아간 성에는 남자도 반하게 하는 극강미모의 미스터리한 왕자가 살고 있었다.어딘가 스산한 분위기인데… 성 밖으로 나가는 출구가 사라져버렸다?!'온실 속 화초'처럼 살아왔던 그들의 독립과 사랑을 찾아가는 이야기!​","스토리, 드라마",전체연령가,목
321,카루나,강호진,9.81,지옥의 군대와 맞서는 항마승병 카루나.카루나에 도전하는 소년액션 모험 판타지!,"스토리, 판타지",12세 이용가,목
322,널 사랑하는 죽은 형,상금,9.94,쌍둥이 형을 교통사고로 잃은 송태한.하지만 집으로 돌아와보니 죽은 형이 귀신이 되어 돌아왔다.빙의를 할 수 있다는 사실을 알고 형을 위해 자신의 몸을 '나눠' 쓰기로 결심하지만그런 형이 갑자기 전학생에게 첫눈에 반하게 되는데…,"스토리, 로맨스",12세 이용가,목
323,나쁜 마법사의 꿈,이아거,8.82,"평범한 중학생 '이대아', 집에서 도망치고 싶어 아무 기숙고등학교에 원서를 넣었다. 그런데 알고 보니 이곳은 예술 고등학교로 위장한 마법학교였고, 전혀 상관없는 곳인 줄 알았던 이 학교에서 ‘이대아’와 얽힌 비밀이 드러나기 시작한다! “나는 마법사인 척 모두를 속여 이 학교에 남아야 해. 무슨 방법을 써서라도.""","스토리, 판타지",전체연령가,목
324,자취방 신선들,마로,9.95,옥황상제를 꿈꾸는 선녀 '묘령'. 인간들이 아파트를 짓느라 산을 밀어버리는 바람에 백수가 되어버린 산신 '한호'. 그리고 인간이웃인 생계형 바람둥이 '민우'와 사회성 제로 오타쿠 '나라'. 4인방이 펼치는 본격 판타지 시트콤 드라마!,"스토리, 드라마",전체연령가,목
325,보물과 괴물의 도시,이을,9.95,"""그 지진사고 날 부터 내 눈에 괴물들이 보여.""빠르게 변해가는 도시에서, 사라져가던 거리의 유물들이 인간에게 들러붙기 시작했다.","스토리, 판타지",12세 이용가,목
326,연애의 발견,별곡 / 멍짖,9.83,"5년 전, 가슴 아픈 첫사랑과 홀로 이별한 ‘여름’.공허한 아픔을 뒤로하고 다시 일어날 기회를 준 건 새로운 남자친구 ‘하진’이었다.하지만 사랑하는 하진이 가진 타인과 선 자리,분노한 여름은 하진의 선 자리로 향하는데…그곳에서 첫사랑이었던 강태하를 만난다.강태하, 네가 왜 여기에 있어?!","스토리, 로맨스",전체연령가,목
327,모어 라이프,이아영,9.94,"모두가 두 개의 목숨을 가진 세계! 태어날 때부터 목숨이 하나였던 영하는 늘 주변의 걱정과 과보호 속에 자랐다.대학생이 된 후 어렵사리 카페 알바에 도전한 영하, 그곳에서 본인보다 더 평범하지 못한 주희를 만나게 되는데...목숨이 두 개인 세계에서 평범하지 못한 두 남녀의 목숨이 걸린 로맨스!","스토리, 로맨스",전체연령가,목
328,사랑하는 여배우들,고나리자 / 수정,9.94,"“스타가 된 구 남친 '우주'를 못 잊는 여대생 '초원'에게, 혼수상태에 빠진 국민 여신 '차유진'의 혼령이 빙의했다?!” 억울한 사고의 진실을 찾기 위해 '초원'에게 빙의한 인기 여배우 '유진'은 초원을 배우의 길로 밀어 넣는다. 얼떨결에 연기하게 된 초원은 '국민배우 공연준'에게 차유진의 카피배우 취급을 당하며 우주 앞에서 망신을 당하게 되지만, 점점 자신만의 연기를 찾아 진정한 배우로 성장해간다. 유진 역시 초원의 도움으로 조금씩 사고 당일의 진실에 가까워져 가는데...!","스토리, 로맨스",전체연령가,목
329,가상&RPG,주다현,9.91,"""사람은 좀 죽여도 싸우는건 싫어해요."" 게임에서조차 집 바깥을 나가지 않는 '제리'. 전투는 한 번도 안해봤는데, 에픽 무기가 귀속되었다? 가상현실 액션 RPG 모브사가 온라인. 그 고인물들의 군상극.","스토리, 판타지",12세 이용가,목
330,외모지상주의,박태준,9.47,못생기고 뚱뚱하다고 괴롭힘을 당하며  루저 인생만 살아온 내가 잘생겨졌다는 이유로 인싸가 됐다.어느 날 자고 일어났더니 갑자기 완벽한 외모와 몸을 지닌 사람이 되어 깨어난다면?,"스토리, 드라마",15세 이용가,금
331,대학원 탈출일지,요다,9.97,연구에 꿈을 가지고 대학원을 선택한 병아리 요다.예상과는 다르게 연구에 관심 없는 교수님과 똥군기의 연구실 분위기에 당황한다.요다는 과연 무사히 대학원을 탈출할 수 있을 것인가?!,"에피소드, 일상",전체연령가,금
332,나 혼자 만렙 뉴비,WAN.Z / 스윙뱃 / ...,9.89,"게임 너튜버로 활동 중인 주인공 진혁은 유일하게 [시련의 탑]의 엔딩을 봤지만, 게임의 인기가 하락하며 더 이상 게임 너튜버로서의 삶도 유지하기 힘들어진다.엔딩을 보았기에 이대로 게임을 마무리하려는 진혁. 바로 그날, [시련의 탑]은 현실이 되었다.게임의 모든 요소를 다 알고 있는 진혁은 누구보다 빠르게 모든 것을 차지한다!""진짜 고인물이 뭔지 보여주지.""","스토리, 판타지",15세 이용가,금
333,어쩌다보니 천생연분,꿀타래 / 담초,9.97,집에 얹혀산 지 몇 년 차더라..? 올해 32살을 맞이한 한지아(일하지 않는 프리랜서/무직)는 주변의 결혼하라는 눈칫밥에 오늘도 고통받는데.. 때마침 명절을 맞이하여 고향에 내려온 소꿉친구 민철 또한 같은 고민이 있었으니.그러면 쉬운 해결 방법이 있잖아?!? 그렇게 홧김에 결혼한 두 사람.그런데 막상 결혼해 보니... 어라?? 생각보다 너무 잘 맞는다?!,"스토리, 로맨스",15세 이용가,금
334,역대급 영지 설계사,이현민 / 김현수 / 문백경,9.98,"소설 속 귀족이 된 토목공학도 김수호. 그런데 뭐? 내 영지가 곧 망할 거라고? 그럼 살려야지. 설계하고, 건설하고, 분양해서. [전 대륙이 기다려온 특별한 기회! 퍼펙트한 교통, 최상의 학군, 쾌적한 숲세권, 원스톱 프리미엄 영지 라이프의 프론테라 남작령이 여러분을 기다립니다. 선착순 분양계약중!]","스토리, 판타지",전체연령가,금
335,1초,시니 / 광운,9.97,"구조율 100%의 전설적인 소방관.  그의 특별한 능력은 긴장하는 순간, 미래가 보인다는 것! 촌각을 다투는 진짜 소방관들의 이야기","스토리, 드라마",전체연령가,금
336,데드퀸,김규삼,9.96,"절망에 빠져 죽음이 임박했을때, 진짜 여왕이 재림한다!하이브 세계관의 장대한 끝, 데드퀸","스토리, 판타지",15세 이용가,금
337,개를 낳았다,이선,9.94,사랑스러운 너와의 첫 만남부터 이별까지. 처음으로 반려견을 키우게 된 다나와 모든것이 처음인 강아지 명동이가 만나 함께 살아가는 이야기. 강아지 수명 20년. 너와 내가 함께하는 20년 동안 우린 어떤 일을 겪게 될까?,"스토리, 드라마",전체연령가,금
338,천하제일 대사형,YooN / 북미혼,9.92,"잔혹했던 정사대전에 반 강제적으로 끌려갔던 대사형 ‘혁무상’.수많은 피가 흐른 전쟁에 참전한지 7년. 전쟁은 진즉 끝났음에도 돌아오지 않아 죽은 줄 알았다.간신히 고향 땅을 밟은 혁무상이 보게 된 것은, 고작 삼류 흑도에게 핍박당해 무너져가는 고향 용호무관의 모습.분노에 찬 혁무상. 용호무관을 향해 다가오는 모든 위협에 대사형은 검을 빼어 든다.","에피소드, 무협/사극",15세 이용가,금
339,상남자,하늘소 / 도가도 / 김태궁,9.95,"오로지 성공만을 바라보며 기업 정점의 자리까지 오른, 최고의 샐러리맨 한유현.대가로 사랑하던 모든 이를 잃어버린 후, 후회 섞인 인생을 돌아보는데...어느 날 모든 기억을 안은 채, 젊은 시절의 그때로 돌아가게 된다.모든 것의 시작점인 신입사원의 위치에서, 그가 다시 삶을 설계한다!","스토리, 드라마",15세 이용가,금
340,연애의 기록,베어리,8.74,사회 초년생인 석호에게는 직업이나 연봉보다 더 중요한 것이 있었으니... 그건 바로 모태솔로 탈출.석호는 꿈에 그리던 첫 연애를 시작하게 되지만 예상치 못한 고난들을 겪게 된다.  소년과 군인을 거쳐 사회인으로 거듭난 문석호의 사랑과 일 그리고 꿈을 다룬 성장 이야기!,"스토리, 드라마",15세 이용가,금
341,낙향문사전,바킹독 / 팀 페가수스 /...,9.74,"온갖 비리가 가득한 과거 시험에 낙방해 좌절한 주인공 손빈. 자신의 신세를 한탄하는 손빈 앞에 나타난 사자혁은 그에게 자신의 일대기를 기록할 것을 청한다. 이후 둘은 함께 천하를 주유하게 되는데, 과연 그의 붓이 써 내려가는 무림 일대기는 어떠한 기록을 남기게 되고, 무림 세계에 발을 들이게 된 손빈의 운명은 어찌 흘러갈는지……","스토리, 무협/사극",12세 이용가,금
342,삼국지톡,무적핑크 / 이리,9.9,"""유비, 조조, 손권 등 영웅들이 활약하던 후한, 그 난세에 핸드폰이 있었다면?메신저로 소통하고, 개인 방송으로 군사를 모집한다! 이제껏 보지 못한 완전히 새로운 삼국지!""","에피소드, 무협/사극",12세 이용가,금
343,세기말 풋사과 보습학원,순끼,9.99,"어릴 때 알던 재수없던 놈이 더 재수없는 놈이 되어 돌아왔다! 중3 황미애의 옆 빌라에 어릴 때 잠깐 시골에서 봤던 김철이 이사 와 같은 학교 같은 반이 되고 '철이와 미애'라 놀림 받자 김철은 미애를 불쾌해하며 피한다. 너만 불쾌한 줄 알아? 나쁜 놈! 미애는 속이 상하지만 그럼에도 자꾸 이상한 우연으로 계속 엮이며 트러블이 발생, 결국 둘은 크게 마음이 상하고 서로 더 이상 아는 척 하지 않으려 한다. 맨날 화만내는 김철과, 황미애 인생에 처음 만나는 이상한 친구들까지 엮이게 되며 미애는 사춘기를 정통으로 겪게 되는데.... <치즈인더트랩> 순끼 작가의 신작!","스토리, 로맨스",전체연령가,금
344,"언니, 이번 생엔 내가 왕비야",Omin / 테미스 / 레...,9.97,"약혼자, 언니, 부모. 모든 것으로부터 버려진 그 날, 아리아드네는 14년 전으로 회귀한다.“젠장! 나는 지금 너에게 구애하는 거라고!”태도가 완전히 달라진 전생의 약혼자부터,“울지 마, 아리아드네. 너는 네가 얼마나 예쁜지 모르지?”그녀에게 첫눈에 반한 다정한 왕자님까지.이번에야말로 모두에게 복수하고, 왕비가 되리라.","스토리, 로맨스",15세 이용가,금
345,말년용사,후딩 / 신마니,9.92,전역하기 3일 전 어이없는 사고로 죽어버린 말년 병장.갑자기 이세계로 떠나라는 현실을 받아들이지 못하고 난리를 치다맨몸으로 이세계에 떨어지는 벌을 받게 된다.말년 병장의 눈물겨운 밀리터리 생존 판타지!,"스토리, 판타지",15세 이용가,금
346,서울역 드루이드,문성호 / 활성곰 / 진설우,9.75,"이세계로 사라진 뒤 천 년 만에 지구로 귀환한, 박수호. 그 사이 세상은 몬스터의 등장으로 철저한 약육강식의 세상으로 변해 있었다. 천 년 동안 처절한 생존경쟁으로 살아남은 동물의 왕 드루이드, 세계 정복에 나서다.이제부터 이 구역의 지배자는 나다.","스토리, 판타지",15세 이용가,금
347,언다잉,임목원,9.9,"전국의 죽어가던 노인들의 병이 한순간에 싹 나았다면?노인 인구가 급증하고 사회적 비용은 폭발 직전!졸지에 노인들을 부양하게 된 젊은 사람들 사이에서 노인들이 버림받고 살해당하는 일도 심심찮게 벌어지게 되는데...죽어가던 사람들이 되살아난 기적인 줄 알았지만 재난인 이야기죽지않는 노인들, 기적일까 저주일까불청객이 되어버린 사람들의 이야기가 시작된다.","옴니버스, 스릴러",12세 이용가,금
348,사신,임재원 / 설봉,9.96,형의 복수를 위해 살천문의 무사 황정을 죽인 소년 종리추.살천문의 추격을 피하기 위해 살혼부의 살수 적지인살에게몸을 의탁하게 되면서 십망(十忘)이라는 거대한 소용돌이에 휩쓸린다.십망의 그늘에서 벗어나기 위해선 전설의 경지인 사무령이 되는 수밖에 없다!종리추는 과연 사무령이 되어정파 무림이 만들어놓은 숨막히는 규율 속에서 자유를 찾을 수 있을까?,"스토리, 무협/사극",15세 이용가,금
349,히어로 킬러,꿀벌 / 벌꿀,9.96,"전쟁은 빌런들의 패배로 막을 내렸다.이제 세상은 부패한 히어로들이 지배하고 있다.그리고, 그런 히어로들 중 하나가 이화의 언니를 죽였다.언니를 죽인 게 누구인지는 모르지만 상관없다.한 놈씩 죽이다 보면 그중에 있을 테니까.이화는 매일 밤 영웅들을 사냥하는 빌런, 히어로 킬러가 된다. ​한 악당의 지독한 액션 활극.“모조리 죽이고, 빼앗아 주마!”","스토리, 액션",15세 이용가,금
350,A.I. 닥터,ZAINO / 쿠큐 / 한...,9.97,"태화 그룹이 미래를 걸고 개발한 진단 목적 A.I. 바루다!내과 레지던트 1년 차 이수혁은 바루다를 견학하던 중 원인 모를 폭발에 휘말려 정신을 잃고 만다.그리고 다시 정신을 차렸을 때 그는 자신의 머릿속에 존재하는 A.I. 바루다를 마주한다.이미 절대 떨어질 수 없는 사이가 되어 버린 둘.딥러닝을 계속해 세계 최고의 진단 인공지능이 되는 것이 목적인 바루다와어려운 환경에서도 악착같이 출세를 위해 노력해 온 수혁,그들은 의기투합해 환자를 치료해 나가며 세계 최고의 내과 의사를 목표로 활동을 개시한다.","스토리, 드라마",전체연령가,금
351,그렇고 그런 바람에,아니영,9.97,4년 전 학교를 떠들썩하게 만들었던 불륜녀 오바람이 복학했다.그런데 복학한 것은 바람만이 아니다? 바람의 주변을 맴돈다는 물귀신 소문..!바람은 물귀신의 훼방에도 굴하지 않고 즐거운 학교생활을 이어갈 수 있을까?<라일락 200%> 아니영 작가의 캠퍼스 로맨스 신작!,"스토리, 로맨스",15세 이용가,금
352,더 게이머,성상영 / 상아,8.51,"이유도 모른 채 현실이 게임처럼 뒤바뀐다면 어떻게 될까?레벨이 오르고, 스테이터스를 올릴 수 있다면?게임이 되어 버린 현실 속 모험기!","스토리, 판타지",전체연령가,금
353,"푸른 밤, 황홀의 윤무",호찌 / 해독 / 유안나,9.94,"평범한 회사원 강서윤은 피아니스트 안희원의 연주회장에서 깜빡 잠이 든다. 사람 한 명 남지 않은 콘서트홀에 남아 있던 그녀는 살인 사건을 방조하고 피 웅덩이에서 피아노를 연주하는 안희원을 목격하는데……?“그러니까 먹히든지, 죽든지. 선택은 우리 서윤 씨가 해요.”","스토리, 로맨스",15세 이용가,금
354,플레이어,박종석 / 오현준,9.91,베댓 공약으로 어쩌다 웹툰 속 주인공이 되었다!,"스토리, 액션",12세 이용가,금
355,브레이커 : 이터널 포스,전극진 / 박진환,9.83,"전설급 현대무협 도시액션이 시작된다.괴롭힘에 옥상에서 죽음을 고민하고 있는 하제. 그 앞에 시운이라는 선배가 나타나대뜸 하제를 아래로 떨어뜨려버린다?! 하지만 무사히 눈을 뜬 곳은 학교 보건실.다시 시작되는 일진들의 괴롭힘에 하제의 반격은 실패로 끝나고..하지만 그 앞에 시운이 다시 등장해 하제를 코치해 하제의 주먹으로 일진들을 일격에 쓰러뜨린다.이제 평범한줄 알았던 학교의 한꺼풀 아래에 있는 무림의 존재가 드러나며, 무림세계로의 험난한 모험이 시작된다.","스토리, 액션",15세 이용가,금
356,폭군님은 착하게 살고 싶어,람글 / 카콘,9.97,"제국 우베라의 폭군이었던 도로테아 밀라네어.결국 사랑하는 사람에게 미움 받고 처형을 당하고 만다.그런데... 눈을 뜨니 어린 시절로 되돌아왔다?!이건 기회라 생각하며, 이번 생은 착하게 사는 것으로 목표를 정한 그녀.과연, 도로테아는 폭군이었던 과거를 청산하고 새로운 삶에서 착하게 살아갈 수 있을까...?!","스토리, 로맨스",전체연령가,금
357,소름일기,siAm,9.86,"'내 눈'에는 보이지만 남들에게는 보이지 않는 '그것'들.어릴 적부터 남들과는 조금 다른 체질로 인해 겪었던 남들에게 말 못할 여러 기이한 경험들을오래된 일기장 넘기듯 풀어내는 실화기반 심령 공포썰.<모태솔로 수용소>,<미드나잇체이서> 작가의 신작!","옴니버스, 스릴러",15세 이용가,금
358,너의 미소가 함정,앵고,9.97,살기 뿜뿜 살벌한 여자 차백합과 빛나는 외모를 가린 남자 안기유!운명처럼 짝이 된 둘의 난감 빠방 스쿨 라이프!,"스토리, 로맨스",전체연령가,금
359,대위님! 이번 전쟁터는 이곳인가요?,비터버 / 리묘,9.81,"대한민국의 내로라 하는 엘리트 특전사 대위 이윤아.뼛속까지 군인인 그녀의 인생에 로맨스 따위는 없었다. 그러나 해외파병 중 포탄을 맞고 정신을 잃은 그녀 앞에 전혀 다른 세상이 펼쳐진다. 친구가 쓴 로맨스 판타지 소설에 빙의된 것!그것도 비루한 삶을 살아가는 엑스트라 '로잘리'가 되어. 깊은 한숨을 내쉬며 머리를 짚는 것도 잠깐, 그녀는 이곳을 전쟁터라 여기고 삶을 바꾸기로 한다. ""여긴 계급사회지. 내가 군대라는 계급사회는 질릴 정도로 체험을 했거든."" 절대적 카리스마로 공작가를 정복해나가는 대위님!하지만 의도치 않게 로맨스까지 휘어잡게 되는데…. ""공작, 황태자를 꿇린 소감이 어때? 황제 폐하를 제외하고 처음으로 누군가한테 무릎 꿇은 건데."" 원작 남주인공은 여주인공이 아닌 그녀에게 무릎까지 꿇는다.사랑은 안중에도 없었던 대위님, 이번 전쟁터에서도 승리할 수 있을까?","스토리, 로맨스",전체연령가,금
360,선을 넘은 연애,서녜,9.97,누나와 동생 같은 동갑내기 소꿉친구 '아라'와 '가람'.  고등학교 2학년이 된 두 사람은 8살 이후 처음으로 같은 반이 되면서 예상치 못한 방향으로 관계가 변하기 시작한다. 가람이가 그저 귀여운 아라와 그게 못마땅한 가람. 과연 두 사람은 연애라는 선을 넘을 수 있을까?,"스토리, 로맨스",전체연령가,금
361,푸쉬오프,허5파6,9.98,어릴 때부터 엄마에게 이끌려 사이비종교에 들어갔던 주인공 다혜는 세상과 단절되어 살다가 자신과 정반대 성격의 동갑내기 이복자매 윤서와 여러 사람들을 만나게 된다.,"스토리, 드라마",전체연령가,금
362,뜨거운 홍차,에리카 / ZZING / ...,9.78,"학교를 자퇴하고 생계를 위해 아르바이트를 전전하는 누리.신세지고 있던 회장님 댁 아들이 오토바이 사고로 장기입원한다.회장님의 분노를 염려한 사모님은 아들과 똑 닮은 누리에게 남장을 하고 학교를 대신 다녀줄 것을 제안하는데...""아니... 사모님, 저는 여자인데요...?""","스토리, 로맨스",전체연령가,금
363,웅크,나유진,9.97,"그시절 우리가 사랑했던 웹툰 <일상날개짓> 나유진 작가님의 힐링 차기작. '나는 왜 태어났을까?' 지금 이곳에 존재하기 위해 얼마나 꼬물꼬물 애썼던가. 그 잃어버린 기억을 찾아 떠나는 엄마 뱃속 감성 판타지! 하나의 세포에 불과했던 우리 모두가 거쳐온, 280일의 성장 이야기가 시작된다.","에피소드, 감성",전체연령가,금
364,뫼신 사냥꾼,승림 / 방승현 / 윤현승,9.93,"신령과도 같은 짐승 뫼신.떠돌이 무사 한세희는 그들을 사냥하고, 그의 앞에 신비한 힘을 가진 소녀가 나타나는데...","스토리, 판타지",15세 이용가,금
365,우리 무슨 사이야?,고농,9.94,"세희와 연우는 어릴 때 부터 알고 지낸 소꿉친구이지만, 사실 세희는 연우를 짝사랑하고 있다. 그러나 짝사랑을 시작한 시점 이후로 묘하게 차가워진 연우의 태도. 이에 세희는 가망 없는 짝사랑을 접기로 결심한다.그런 세희의 앞에 전학생 서진이 나타나고 둘은 점점 가까워지는데…","스토리, 로맨스",전체연령가,금
366,애증화음,전구,9.8,"치열하게 경쟁하는 서화예술고등학교 피아노과의 두 여학생 최인정과 선경화. 중학교 시절부터 시작된 그들의 라이벌 관계는 끈질기게 계속되어왔다. 고3이 된 최근, 항상 아슬하게 뒤처지던 인정의 피아노 실력이 최근 경화를 바짝 따라잡았고 경화는 위기감에 흔들리기 시작하는데...경화를 향한 인정의 집착, 인정을 향한 경화의 불안. 그 이유는 무엇일까.","스토리, 드라마",전체연령가,금
367,온리호프,초승,9.96,"사랑스러운 남편의 살인을 목격한 그날 밤,은혜는 살해 당해 그를 처음 만난 9년 전으로 돌아왔다.과연 남편의 연쇄살인을 막을 수 있을까?그리고... 예전처럼 다시 사랑할 수 있을까?","스토리, 로맨스",15세 이용가,금
368,미친 후작을 길들이고 말았다,골지 / 이레 / 로판맛집,9.94,"""나를 이용해요. 그대가 날 사랑하지 않아도 되니까.""정의로운 대장장이 가문의 영애, 라라.그녀는 어린 소년, 에스칼을 인신매매로부터 구해내어 함께 지내지만, 갑작스러운 영지 침략으로 인해 그를 잃고 만다.쉽게 아물지 않는 아픔을 억지로 묻은 채 가문의 부흥에만 힘 쓴지 1년. 라라의 앞에는 제국의 악명 높은 '미친 후작', 에스칼 반 다이크가 나타나는데...같은 이름, 유사한 외양, 차갑고 냉정한 성격까지.라라는 1년 전 죽은 소년과 자꾸만 겹쳐보이는 그의 애정공세가 혼란스럽기만 하다!","스토리, 로맨스",전체연령가,금
369,킬 더 드래곤,현가 / 미스 지수 / 백...,9.93,"""필사적으로 살아남아라.""인류는 침략자 '드래곤'에게 멸망을 선고받았다.붕괴 직전의 세계에서 인류를 수호하기 위해전쟁고아 이한은 '사이커'로 각성한다!","스토리, 액션",15세 이용가,금
370,후덜덜덜 남극전자,김민혁,9.94,"남극전자 출근 1일차, 신입사원 김정훈! 이직을 준비중입니다.","옴니버스, 개그",전체연령가,금
371,지옥 키우기,세하,9.76,"망해버린 <지옥>을 성장시키는 악마의 게임, <지옥 키우기>! 상상 가능한 모든 것을 플레이어에게 줄 수 있는 <지옥>을 성장시키기 위해 현실의 인간을 게임 속에 가두고 괴롭혀야 하는데... 악마가 되더라도 모든 것을 가질 것인가?인간으로 남아 불공평한 삶을 견딜 것인가?","스토리, 스릴러",15세 이용가,금
372,여자를 사귀고 싶다,노갓량 / 영오,9.47,23년간 한 번도 연애를 해보지 못한 모태솔로 김민수.군복무를 마치고 이제 막 대학교에 복학한 그의 꿈은 단 하나. 여자친구를 사귀어 보는 것!여자에 대해 모든 것이 낯선 그에게 자칭 '연애고수' 친구들의 전문적인(?) 코칭이 시작된다!민수는 과연 모태솔로를 탈출하고 운명같은 사랑을 쟁취할 수 있을까?,"스토리, 개그",12세 이용가,금
373,크림슨 하트,HYBE,9.68,"'푸른 반딧불이'로 인해 폭주하는 마법의 땅 언노운, 그런 마법으로부터 완전히 차단된 통제도시 레퓨지아레퓨지아에서 완벽한 시스템을 통해 관리되며 살아가던 소녀들은어느날 도서관에서 의문의 낡은 책과 붉은 목걸이를 발견한다.자신들의 손에 쥐어진 것이 무엇인지도 모른 채소녀들은 푸른 반딧불이를 보고 호기심에 이끌려 아무도 넘지 않았던 장벽을 넘어 도시 밖으로 나간다소녀들의 손에 쥐어진 전설의 크림슨 하트,'푸른 반딧불이 섬의 저주를 풀라'는 의문의 메시지.미지의 땅 언노운을 모험할수록 밝혀지는 레퓨지아의 비밀과 푸른 반딧불이의 진실...소녀들의 운명은? 크림슨 하트 with 르세라핌","스토리, 판타지",12세 이용가,금
374,몽홀,장태산,9.9,차갑고 척박한 땅 몽홀그 곳에서 펼쳐지는 감동의 대서사시,"스토리, 무협/사극",전체연령가,금
375,스포,이강,9.91,"어느 날 정체를 알 수 없는 괴생명체들과 우주선의 습격으로 모든 일상이 붕괴된다!위기의 순간, 미래를 알려주는 메시지 '스포'가 승호의 머릿속으로 날아오는데...평범한 고등학생이었던 승호는 가족을 찾기 위해서 괴생명체들이 돌아다니는 위험한 도시로 뛰어든다.<감염자> 이강 작가의 신작!","스토리, 스릴러",18세 이용가,금
376,하나는 적고 둘은 너무 많아,젤리피쉬 / 손모모,9.81,전 남편과 익명 데이트 어플에서 만났다...?연애부터 결혼까지 10년이란 긴 세월의 마침표를 찍고 얼마 전 이혼한 마루와 지호. 두 사람은 각각 외로운 마음을 달래고자 익명의 데이트 어플 '큐피드'를 설치하게 되는데...  서로를 모르는 채 매칭이 된 두 사람은 이곳에서 은밀한 비밀을 공유하는 사이가 된다.,"스토리, 로맨스",15세 이용가,금
377,문제적 왕자님,선인장 / 솔체,9.94,"아버지에게 버려지고 외가인 바덴가에서조용하게 살아가고 있는 에르나 하르디.이 작은 시골에 위기가 찾아왔다.외조부인 바덴 남작이 죽고 난 후,모든 재산이 넘어가게 된 것!어떻게든 바덴가를 지키고 싶은 에르나는아버지에게 도움을 청하기 위해 슈베린으로 향하고…그곳에서 마주치게 된왕실의 독버섯, 비에른 드나이스터― 희대의 스캔들로 왕세자 자리마저 내려놓은 왕실의 탕아!바덴가를 지키고 싶은 에르나에게 이 달콤한 독버섯이 건네지는데…!“에르나 아가씨, 독버섯은 먹지 마세요. 먹으면 죽어요.”","스토리, 로맨스",15세 이용가,금
378,솔트앤페퍼,소이,9.97,먹기 위해 사는 민후추와 살기 위해 먹는 소금지.소꿉친구지만 음식에 대한 가치관이 전혀 다른 두 사람.둘을 중심으로 펼쳐지는 자취 요리(?)와 캠퍼스 라이프(!)'서브 콤플렉스' 소이 작가의 신작!,"스토리, 로맨스",전체연령가,금
379,절대복종,혼,8.27,"일진들의 괴롭힘을 받던 다임은 자신의 오래된 핸드폰에서 자신의 인생을 바꿀 게임을 만나게 된다.일진들을 부려먹고, 선량한 조력자들을 포섭하여 성장시킬 수 있는 사기적인 전략 RPG 게임!이 RPG 게임의 최종 목표는 학교 폭력을 세상에서 없애는 것이다.","스토리, 액션",15세 이용가,금
380,쿠쿠쿠쿠,신의철,9.89,"어느 날, 남극에서나 사는 줄 알았던 펭귄이 너드남 공선생 집에 난입했다!할 줄 아는 말은 '쿠쿠'밖에 없는 그 녀석은 심지어 아프리카에서 왔다나?한국을 자신의 고향인 볼더스 비치처럼 여유와 낭만이 넘치는 곳으로 바꾸겠다는 쿠쿠와 엉겁결에 같이 살게 된 공선생.그 둘의 앞에 하드한 K-라이프가 펼쳐지게 되는데!","스토리, 개그",전체연령가,금
381,신의 최애캐,김찹쌀,9.78,"모든 것이 완벽한 고등학생 홍강후. 하지만 딱 하나, 그에게 허락되지 않은 것은 바로 '연애'다.4월 8일 고백데이를 앞두고 드디어 '모쏠인생' 강후에게도 봄날이 오는가 싶었는데...","스토리, 드라마",12세 이용가,금
382,멜빈이 그들에게 남긴 것,삼칠13 / 팀 해피게리 ...,9.97,"""이건 당신을 지키고 복수를 돕기 위한 형식적인 혼인입니다.""네우스 성의 귀한 아가씨, 셰릴.어느 밤, 숙부의 반란으로 오라비가 살해당하고, 그녀 역시 죽임을 당할 위기에 처한다. 모든 걸 포기한 마지막 순간. 구원이 찾아왔다.“기어이 내 혼약자를 죽이고 싶다면. 네우스 성은 전쟁을 각오해야 할 거다.”가짜 혼약을 앞세워 그녀를 구해준 블레어의 성주, 펠릭스. 오라버니의 친구로만 알고 있던 그와의 낯선 결혼생활이 시작된다.","스토리, 로맨스",12세 이용가,금
383,세라는 망돌,햇살,9.28,톱스타 부부의 딸로 태어나 국내 최정상 인기 아이돌로 탄탄대로를 걷고 있던 강세라는 돌연 은퇴 선언 후 시골로 도망친다. 더이상 노래도 사랑도 싫다며 도망친 세라는 그곳에서 뜻밖의 소년들을 만나게 되는데.... 세라는 다시 노래할 수 있을까?,"스토리, 로맨스",전체연령가,금
384,상위1%,미티 / 웅비,8.79,"학교는 곧 계급 사회다. 힘, 외모, 돈, 집안으로 계급은 극명하게 나뉜다.그러나 정체불명의 바이러스가 퍼지면서, 강자들은 몰락하고 평범함을 유지한 아이들이 강자가 되어버렸다.뒤바뀐 계급사회,나는 상위1%가 되었다","스토리, 판타지",15세 이용가,금
385,이게 아닌데,봄소희 / 김세이,9.94,"탑배우의 갑질로 죽음에 이른 매니저, 김로아.""복수하고 싶어!"" 간절함 때문일까, 과거로 돌아왔다!철저하게 복수를 해주려는데 어라... 일이 자꾸만 꼬인다?!","스토리, 로맨스",12세 이용가,금
